Resolution,Old parcel index,Old parcel name,New parcel index,New parcel name
900Parcels_7Networks,205,7Networks_LH_DorsAttn_FEF_1,305,7Networks_LH_Cont_PFCd_1
500Parcels_17Networks,385,17Networks_RH_SalVentAttnB_PFCv_3,482,17Networks_RH_DefaultB_PFCv_3
600Parcels_17Networks,1,17Networks_LH_VisCent_ExStr_1,92,17Networks_LH_DorsAttnA_TempOcc_2
600Parcels_17Networks,457,17Networks_RH_SalVentAttnB_PFCv_3,577,17Networks_RH_DefaultB_PFCv_4
700Parcels_17Networks,544,17Networks_RH_SalVentAttnB_PFCv_5,679,17Networks_RH_DefaultB_PFCv_4
700Parcels_17Networks,596,17Networks_RH_ContA_PFCl_10,512,17Networks_RH_SalVentAttnA_PrC_1
800Parcels_17Networks,621,17Networks_RH_SalVentAttnB_PFCv_4,772,17Networks_RH_DefaultB_PFCv_3
900Parcels_17Networks,700,17Networks_RH_SalVentAttnB_PFCv_6,867,17Networks_RH_DefaultB_PFCv_5
900Parcels_17Networks,743,17Networks_RH_ContA_Temp_3,888,17Networks_RH_TempPar_8
900Parcels_17Networks,876,17Networks_RH_DefaultC_PHC_1,583,17Networks_RH_DorsAttnA_TempOcc_2
900Parcels_17Networks,879,17Networks_RH_DefaultC_PHC_4,585,17Networks_RH_DorsAttnA_TempOcc_4
1000Parcels_17Networks,694,17Networks_RH_DorsAttnB_TempOcc_2,994,17Networks_RH_TempPar_16
1000Parcels_17Networks,1000,17Networks_RH_TempPar_22,771,17Networks_RH_SalVentAttnB_IPL_1
